,ATL,BOS,BRK,CHA,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHX,POR,SAC,SAS,TOR,UTA,WSH
ATL,,110,166,135,122,116,88,146,114,196,92,117,208,208,287,170,211,195,89,166,302,54,88,254,183,413,169,472,337,131
BOS,82,,88,221,88,122,106,214,102,229,192,171,224,224,312,197,185,108,160,88,340,129,109,239,277,251,218,268,276,143
BRK,128,146,,173,99,201,162,122,166,257,180,116,141,141,270,226,194,183,202,,298,101,229,243,276,311,222,182,239,112
CHA,200,241,187,,273,313,248,170,278,355,250,302,340,340,398,412,189,326,109,187,194,110,157,294,295,512,175,474,346,235
CHI,192,101,101,223,,199,134,102,170,185,139,177,121,121,180,148,250,142,123,101,204,125,106,159,153,232,258,225,250,171
CLE,111,117,167,313,206,,116,197,170,230,230,181,285,285,312,219,148,200,171,167,468,117,237,242,248,413,272,243,260,182
DAL,114,220,81,242,160,90,,68,222,219,70,305,81,81,570,228,163,187,119,81,135,129,127,118,42,302,148,441,178,171
DEN,129,215,177,151,156,174,82,,123,138,100,130,110,110,131,129,109,136,245,177,161,101,207,127,128,106,88,405,96,140
DET,93,136,166,221,169,187,127,112,,152,220,202,160,160,280,217,200,92,150,166,283,90,143,245,389,197,189,334,213,265
GSW,206,276,240,315,178,131,208,177,191,,131,247,73,73,343,359,295,225,293,240,344,213,377,129,152,999999,206,477,123,298
HOU,115,168,167,179,297,287,206,101,249,125,,334,132,132,270,326,200,121,95,167,215,113,191,191,289,310,200,507,238,264
IND,117,198,192,184,175,230,283,186,282,246,233,,275,275,250,283,260,255,193,192,312,267,157,250,313,334,251,320,250,194
LAC,174,231,181,382,121,137,107,105,219,70,140,253,,,218,204,226,200,183,181,129,156,236,141,144,145,160,333,131,283
LAL,174,231,181,382,121,137,107,105,219,70,140,253,,,218,204,226,200,183,181,129,156,236,141,144,145,160,333,131,283
MEM,258,329,379,319,217,334,280,167,283,339,211,220,310,310,,298,381,290,280,379,260,76,236,263,401,379,214,235,144,133
MIA,82,295,170,413,166,301,251,136,190,370,361,292,323,323,279,,343,204,227,170,320,95,219,187,362,158,221,298,268,290
MIL,146,153,261,206,244,135,295,151,260,325,250,231,290,290,291,264,,156,168,261,274,136,226,229,320,241,212,414,276,185
MIN,153,108,183,229,244,116,156,178,154,196,123,239,144,144,250,267,202,,205,183,255,179,224,199,208,361,231,378,287,186
NOP,91,142,170,291,83,450,119,207,284,344,113,296,274,274,218,367,159,283,,170,354,284,234,177,325,420,305,256,371,192
NYK,128,146,,173,99,201,162,122,166,257,180,116,141,141,270,226,194,183,202,,298,101,229,243,276,311,222,176,239,112
OKC,271,397,310,280,204,597,142,126,315,333,231,229,138,138,654,452,213,208,312,310,,359,208,296,208,367,301,333,285,217
ORL,75,107,78,214,130,107,172,210,117,209,274,191,203,203,189,80,210,249,174,78,140,,88,199,228,309,213,364,241,135
PHI,117,122,198,127,83,381,150,209,123,212,150,413,313,313,239,104,210,163,151,198,388,89,,245,281,300,141,328,253,145
PHX,214,295,247,323,172,150,120,107,244,154,248,321,123,123,419,299,233,185,170,247,210,275,173,,227,122,245,279,215,327
POR,271,318,276,260,301,401,314,183,230,139,209,527,144,144,272,325,233,236,272,276,247,248,303,361,,169,270,409,248,135
SAC,198,265,289,330,279,686,406,192,250,278,342,421,133,133,343,313,405,264,660,289,379,600,384,115,185,,348,603,169,322
SAS,116,368,235,156,287,319,216,135,210,214,146,308,214,214,211,360,208,191,691,235,235,230,149,222,335,363,,377,256,335
TOR,200,208,164,423,207,385,399,230,330,366,389,333,329,329,286,294,298,288,351,164,439,291,196,387,323,445,553,,415,157
UTA,362,324,257,260,439,409,195,67,229,171,213,441,144,144,539,469,215,167,442,257,167,286,339,147,285,182,239,526,,207
WSH,131,146,95,201,210,82,396,166,102,318,334,210,203,203,277,211,231,195,267,95,193,133,438,221,315,327,301,185,284,
