-,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177
1,11,27,27,27,27,27,11,11,11,21,21,27,27,27,11,11,11,7,27,27,21,7,11,11,11,27,27,27,27,7,11,11,11,27,27,27,27,27,11,11,11,19,19,19,19,19,11,11,11,7,7,7,27,27,11,11,11,19,19,15,15,19,11,11,11,11,27,27,27,27,27,11,11,11,11,11,27,27,27,27,27,11,11,11,11,19,19,19,19,19,11,11,11,21,21,21,21,21,11,11,11,11,19,27,27,27,27,11,11,11,11,19,15,15,15,15,11,11,11,19,19,19,19,19,11,11,11,11,11,21,21,21,21,21,11,11,11,27,27,27,27,27,11,11,11,27,27,27,27,27,11,11,11,27,27,27,27,27,11,11,11,11,21,21,21,21,21,11,11,11,11,11,11,11,11,19,15
2,4,4,4,4,4,4,4,4,1,1,19,19,19,4,4,4,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,4,4,4,4,4,4,4,4,4,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,4,4,4,1,1,1,1,1,4,4,4,4,4,4,1,19,19,15,15,4,4,4,4,4,4,4,4,1,1,1,1,19,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,4,4,4,4,4,4,4,1,1,15,15,15,4,4,4,4,4,30,30,30,30,30,4,4,4,4,4,4,4,4,1,1,1,1,1,4,4,4,4,4,4,4,1
3,27,11,11,19,19,19,27,27,27,27,11,11,21,8,8,27,27,27,27,27,21,7,7,21,21,27,27,27,27,7,11,19,19,19,27,27,27,27,21,21,21,21,21,27,27,27,11,11,19,19,15,27,27,27,27,21,21,7,11,11,27,27,27,27,11,11,11,11,21,27,27,27,11,19,19,19,19,27,27,27,27,27,21,7,21,7,7,27,27,27,11,11,11,21,21,27,27,27,27,27,27,11,11,21,21,21,27,27,27,27,27,27,21,7,21,7,11,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,11,11,7,21,21,27,27,27,27,27,27,11,11,11,11,19,27,27,27,21,21,21,21,21,27,27,27,27,27,27,27,11,11,11,19,19,27,27,27,11,11,11,11,19,27
4,9,9,9,9,12,12,12,8,24,9,9,9,9,9,6,6,6,30,30,9,9,9,6,6,6,28,28,9,9,9,9,12,12,12,12,12,9,9,9,6,28,28,28,28,9,9,9,9,9,9,6,6,6,6,28,9,9,9,9,9,9,9,9,9,9,9,5,5,12,12,12,9,9,9,9,9,12,8,8,8,8,9,9,9,6,30,30,30,30,9,9,9,9,9,9,9,9,6,28,28,28,28,9,9,9,9,9,9,9,6,6,6,6,6,9,9,9,9,6,6,6,6,6,9,9,9,9,9,6,28,28,28,28,9,9,9,9,6,6,6,6,6,9,9,9,9,6,6,6,28,28,9,9,9,9,9,9,9,9,9,9,6,6,6,6,6,9,9,9,9,9,9,17,18,18,18,18
5,29,13,13,13,13,13,29,29,29,29,29,29,13,13,13,10,10,29,29,29,8,8,8,8,8,29,29,29,29,24,24,24,24,24,29,29,29,29,13,13,13,10,10,29,29,29,29,13,13,24,24,24,29,29,29,8,8,12,12,8,29,29,29,29,29,13,13,13,10,10,29,29,29,24,24,24,24,24,29,29,29,29,13,26,10,25,25,29,29,29,13,13,10,10,13,29,29,29,29,29,13,13,13,13,13,29,29,29,29,24,24,24,24,24,29,29,29,29,8,8,12,12,12,29,29,29,29,29,13,13,13,13,13,29,29,29,13,13,13,24,24,29,29,29,13,10,10,10,10,29,29,29,13,24,24,24,24,29,29,29,29,8,8,8,8,12,29,29,29,24,24,24,24,13,29,29,29
6,9,9,9,9,9,6,28,28,28,28,9,9,9,9,6,6,6,30,30,9,9,9,6,6,6,28,28,9,9,9,9,17,5,5,17,17,9,9,9,6,6,6,6,18,9,9,9,9,9,9,6,6,6,6,28,9,9,9,9,9,9,9,9,9,9,9,9,9,12,12,12,5,17,9,9,9,12,8,8,8,8,9,9,9,6,30,30,30,30,9,9,9,9,9,9,9,9,6,28,28,28,28,9,9,9,9,9,9,9,6,6,6,6,6,9,9,9,9,6,6,6,6,6,9,9,9,9,9,6,28,28,28,28,9,9,9,9,6,6,6,6,6,9,9,9,9,6,6,6,28,28,9,9,9,9,9,9,9,9,9,9,6,6,6,6,6,9,9,9,9,9,9,5,12,12,12,8
7,23,20,30,30,30,30,23,23,23,23,20,20,3,20,2,23,23,23,23,30,30,30,30,30,23,23,23,30,30,30,30,30,23,23,23,30,2,2,2,2,23,23,23,3,3,2,2,2,23,23,23,23,23,20,20,2,2,2,23,23,23,3,20,3,2,2,23,23,23,23,20,3,3,30,30,23,23,23,30,30,30,30,30,23,23,23,23,20,20,20,3,3,23,23,23,23,23,20,20,20,20,3,23,23,23,23,30,30,30,4,4,23,23,23,23,30,30,30,30,30,23,23,23,23,23,23,23,23,3,20,20,20,3,23,23,23,23,23,30,30,30,4,4,23,23,23,30,30,30,30,30,23,23,23,23,20,20,20,20,20,23,23,23,20,2,20,20,2,23,23,23,30,30,30,30,30,23
8,16,22,22,22,22,22,16,16,16,22,22,22,22,22,16,16,16,16,16,16,22,22,22,22,22,16,16,16,16,22,22,22,22,22,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,22,22,22,22,22,16,16,16,22,22,22,22,22,16,16,16,16,16,16,16,16,22,22,22,22,22,16,16,16,16,16,16,16,16,16,16,16,16,22,22,22,22,22,16,16,16,16,16,16,16,16,22,22,22,22,22,16,16,16,16,16,16,16,16,22,22,22,22,22,16,16,16,16,16,16,16,16,16,16,22,22,22,22,22,16,16,16,16,16,16,16,16,16,22,22,22,22,22,16,16,16,16,16,16,16,22,22,22,22,22,16,16,16,16,16,16,16,16,16,22,22,22,22,22,16,16,16
9,5,12,12,17,17,17,5,5,5,5,5,17,17,17,17,17,5,5,5,17,17,17,17,17,5,5,5,18,18,18,18,18,5,5,5,5,17,17,17,18,18,5,5,5,5,5,18,18,18,18,18,5,5,5,5,12,12,4,4,4,5,5,5,12,17,17,17,17,5,5,5,5,17,18,18,18,18,5,5,5,18,18,18,18,18,5,5,5,5,5,5,12,12,12,12,12,5,5,5,12,12,17,17,18,5,5,5,5,5,18,18,18,18,18,5,5,5,5,12,15,15,19,19,5,5,5,5,5,17,17,17,17,18,5,5,5,5,12,12,12,12,12,5,5,5,5,5,12,12,12,12,8,5,5,5,5,5,17,17,17,17,17,5,5,5,12,8,12,12,8,5,5,5,12,12,12,8
10,5,12,12,12,12,12,5,5,5,5,5,17,17,17,17,17,5,5,5,17,17,17,17,17,5,5,5,18,18,18,18,18,5,5,5,5,17,17,17,18,18,5,5,5,5,5,18,18,18,18,18,5,5,5,5,12,12,12,12,8,5,5,5,5,17,17,17,17,17,5,5,5,17,18,18,18,18,5,5,5,17,17,17,17,17,5,5,5,5,5,5,12,12,12,12,12,5,5,5,12,12,17,17,18,5,5,5,5,5,5,5,5,12,17,17,17,17,5,5,5,5,5,5,5,5,5,5,5,17,17,17,17,18,5,5,5,5,12,12,12,12,12,5,5,5,5,5,12,12,12,12,12,5,5,5,5,5,17,17,17,17,17,5,5,5,12,8,12,12,8,5,5,5,17,17,17,17
